District,Neighbourhood,Sum of Populatiion,Province
Afşin,Afşinbey Mah.,7102,Kahramanmaraş
Afşin,Ağcaşar Mah.,125,Kahramanmaraş
Afşin,Alemdar Mah.,384,Kahramanmaraş
Afşin,Alimpınar Mah.,1209,Kahramanmaraş
Afşin,Alpaslan Mah.,3412,Kahramanmaraş
Afşin,Altaş Mah.,1143,Kahramanmaraş
Afşin,Altınelma Mah.,1671,Kahramanmaraş
Afşin,Anzorey Mah.,284,Kahramanmaraş
Afşin,Arıtaş Mah.,4382,Kahramanmaraş
Afşin,Armutalan Mah.,150,Kahramanmaraş
Afşin,Bakraç Mah.,946,Kahramanmaraş
Afşin,Başüstü Mah.,539,Kahramanmaraş
Afşin,Berçenek Mah.,164,Kahramanmaraş
Afşin,Beyceğiz Mah.,4619,Kahramanmaraş
Afşin,Binboğa Mah.,231,Kahramanmaraş
Afşin,Büget Mah.,167,Kahramanmaraş
Afşin,Büyüksevin Mah.,342,Kahramanmaraş
Afşin,Büyüktatlı Mah.,721,Kahramanmaraş
Afşin,Çağılhan Mah.,227,Kahramanmaraş
Afşin,Çobanbeyli Mah.,2659,Kahramanmaraş
Afşin,Çoğulhan Mah.,949,Kahramanmaraş
Afşin,Çomudüz Mah.,258,Kahramanmaraş
Afşin,Çukurpınar Mah.,199,Kahramanmaraş
Afşin,Dedebaba Mah.,4098,Kahramanmaraş
Afşin,Deveboynu Mah.,230,Kahramanmaraş
Afşin,Dokuztay Mah.,182,Kahramanmaraş
Afşin,Efsus Turan Mah.,9389,Kahramanmaraş
Afşin,Emirilyas Mah.,498,Kahramanmaraş
Afşin,Emirli Mah.,854,Kahramanmaraş
Afşin,Erçene Mah.,648,Kahramanmaraş
Afşin,Esence Mah.,641,Kahramanmaraş
Afşin,Gaziosmanpaşa Mah.,5704,Kahramanmaraş
Afşin,Gerger Mah.,235,Kahramanmaraş
Afşin,Gözpınarı Mah.,100,Kahramanmaraş
Afşin,Haticepınarı Mah.,98,Kahramanmaraş
Afşin,Hurman Mah.,659,Kahramanmaraş
Afşin,Hüyüklü Mah.,1504,Kahramanmaraş
Afşin,İğdemlik Mah.,83,Kahramanmaraş
Afşin,İnci Mah.,89,Kahramanmaraş
Afşin,İncirli Mah.,196,Kahramanmaraş
Afşin,Kabaağaç Mah.,1059,Kahramanmaraş
Afşin,Kale Mah.,4739,Kahramanmaraş
Afşin,Kangal Mah.,156,Kahramanmaraş
Afşin,Karagöz Mah.,442,Kahramanmaraş
Afşin,Kaşanlı Mah.,465,Kahramanmaraş
Afşin,Koçovası Mah.,372,Kahramanmaraş
Afşin,Kötüre Mah.,190,Kahramanmaraş
Afşin,Kuşkayası Mah.,250,Kahramanmaraş
Afşin,Marabuz Mah.,666,Kahramanmaraş
Afşin,Mehre Mah.,356,Kahramanmaraş
Afşin,Nadır Mah.,948,Kahramanmaraş
Afşin,Oğlakkayası Mah.,53,Kahramanmaraş
Afşin,Ördek Mah.,426,Kahramanmaraş
Afşin,Örenderesi Mah.,43,Kahramanmaraş
Afşin,Örenli Mah.,123,Kahramanmaraş
Afşin,Pınarbaşı Mah.,2558,Kahramanmaraş
Afşin,Soğucak Mah.,204,Kahramanmaraş
Afşin,Söğütderesi Mah.,85,Kahramanmaraş
Afşin,Tanır Mah.,1650,Kahramanmaraş
Afşin,Tatlar Mah.,522,Kahramanmaraş
Afşin,Topaktaş Mah.,137,Kahramanmaraş
Afşin,Türkçayırı Mah.,385,Kahramanmaraş
Afşin,Türksevin Mah.,430,Kahramanmaraş
Afşin,Yazıdere Mah.,262,Kahramanmaraş
Afşin,Yazıköy Mah.,101,Kahramanmaraş
Afşin,Yeşilyurt Mah.,6331,Kahramanmaraş
Andırın,Akçakoyunlu Mah.,508,Kahramanmaraş
Andırın,Akgümüş Mah.,258,Kahramanmaraş
Andırın,Akifiye Mah.,553,Kahramanmaraş
Andırın,Alameşe Mah.,379,Kahramanmaraş
Andırın,Alanlı Mah.,344,Kahramanmaraş
Andırın,Alınoluk Mah.,422,Kahramanmaraş
Andırın,Altınboğa Mah.,225,Kahramanmaraş
Andırın,Altınyayla Mah.,624,Kahramanmaraş
Andırın,Anacık Mah.,291,Kahramanmaraş
Andırın,Arıklar Mah.,524,Kahramanmaraş
Andırın,Başdoğan Mah.,419,Kahramanmaraş
Andırın,Bektaşlı Mah.,255,Kahramanmaraş
Andırın,Beşbucak Mah.,777,Kahramanmaraş
Andırın,Boğazören Mah.,327,Kahramanmaraş
Andırın,Bostanlı Mah.,209,Kahramanmaraş
Andırın,Boynuyoğunlu Mah.,159,Kahramanmaraş
Andırın,Boztopraklı Mah.,792,Kahramanmaraş
Andırın,Bulgurkaya Mah.,456,Kahramanmaraş
Andırın,Cambaz Mah.,582,Kahramanmaraş
Andırın,Camuzluk Mah.,313,Kahramanmaraş
Andırın,Çiçekli Mah.,524,Kahramanmaraş
Andırın,Çiğşar Mah.,227,Kahramanmaraş
Andırın,Çokak Mah.,540,Kahramanmaraş
Andırın,Çuhadarlı Mah.,287,Kahramanmaraş
Andırın,Darıovası Mah.,610,Kahramanmaraş
Andırın,Efirağızlı Mah.,569,Kahramanmaraş
Andırın,Emirler Mah.,269,Kahramanmaraş
Andırın,Erenler Mah.,232,Kahramanmaraş
Andırın,Geben Mah.,1448,Kahramanmaraş
Andırın,Gökahmetli Mah.,212,Kahramanmaraş
Andırın,Gökçeli Mah.,256,Kahramanmaraş
Andırın,Gökgedik Mah.,392,Kahramanmaraş
Andırın,Hacıveliuşağı Mah.,336,Kahramanmaraş
Andırın,Kabaağaç Mah.,366,Kahramanmaraş
Andırın,Kabaklar Mah.,173,Kahramanmaraş
Andırın,Kaleboynu Mah.,225,Kahramanmaraş
Andırın,Karapınar Mah.,204,Kahramanmaraş
Andırın,Kargaçayırı Mah.,278,Kahramanmaraş
Andırın,Kıyıkçı Mah.,197,Kahramanmaraş
Andırın,Kızık Mah.,618,Kahramanmaraş
Andırın,Köklü Mah.,347,Kahramanmaraş
Andırın,Köleli Mah.,141,Kahramanmaraş
Andırın,Kumarlı Mah.,602,Kahramanmaraş
Andırın,Kuzgun Mah.,412,Kahramanmaraş
